Artist,Song Title,Song ID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Bini,Kapit Lang,47FtbLmQPMVEGbmKTmNnbb,,,,,,,,,,,,,,,,,,
Bini,Strings - Dance Version,2u12rBuVmArXK9N1iGsaIa,0.677,0.907,10.0,-2.952,0.0,0.073,0.0314,0.0,0.0896,0.611,125.054,audio_features,2u12rBuVmArXK9N1iGsaIa,spotify:track:2u12rBuVmArXK9N1iGsaIa,https://api.spotify.com/v1/tracks/2u12rBuVmArXK9N1iGsaIa,https://api.spotify.com/v1/audio-analysis/2u12rBuVmArXK9N1iGsaIa,199680.0,4.0
Bini,B HU U R,6B8LtMPhqUFuqQIxi5y8yb,0.741,0.933,10.0,-4.321,1.0,0.0811,0.0993,3.23e-06,0.112,0.332,124.982,audio_features,6B8LtMPhqUFuqQIxi5y8yb,spotify:track:6B8LtMPhqUFuqQIxi5y8yb,https://api.spotify.com/v1/tracks/6B8LtMPhqUFuqQIxi5y8yb,https://api.spotify.com/v1/audio-analysis/6B8LtMPhqUFuqQIxi5y8yb,211200.0,4.0
Bini,"Read All About It, Pt. III",2eMGnjkOcyw0g8qZ84BE6j,0.668,0.669,6.0,-5.966,0.0,0.0685,0.309,0.00167,0.122,0.51,119.974,audio_features,2eMGnjkOcyw0g8qZ84BE6j,spotify:track:2eMGnjkOcyw0g8qZ84BE6j,https://api.spotify.com/v1/tracks/2eMGnjkOcyw0g8qZ84BE6j,https://api.spotify.com/v1/audio-analysis/2eMGnjkOcyw0g8qZ84BE6j,194575.0,4.0
Bini,Hunger - Live,2j2Jh491d1gPTzE2429yF7,0.353,0.351,7.0,-9.427,1.0,0.031,0.281,0.0,0.608,0.152,143.868,audio_features,2j2Jh491d1gPTzE2429yF7,spotify:track:2j2Jh491d1gPTzE2429yF7,https://api.spotify.com/v1/tracks/2j2Jh491d1gPTzE2429yF7,https://api.spotify.com/v1/audio-analysis/2j2Jh491d1gPTzE2429yF7,510819.0,4.0
Bini,Come Up Here - Live,39rSNEgQTVwe6nLIjTfZxX,0.322,0.497,5.0,-5.843,1.0,0.0307,0.0104,0.0,0.285,0.18,145.033,audio_features,39rSNEgQTVwe6nLIjTfZxX,spotify:track:39rSNEgQTVwe6nLIjTfZxX,https://api.spotify.com/v1/tracks/39rSNEgQTVwe6nLIjTfZxX,https://api.spotify.com/v1/audio-analysis/39rSNEgQTVwe6nLIjTfZxX,334955.0,4.0
Bini,Lagi,5nHB5r0p0G9t4mi3pjzn35,,,,,,,,,,,,,,,,,,
Bini,I Feel Good,2QaYbIofyb0Jjy53i8JpSN,0.683,0.87,1.0,-5.035,0.0,0.0381,0.0653,0.0,0.0604,0.552,119.961,audio_features,2QaYbIofyb0Jjy53i8JpSN,spotify:track:2QaYbIofyb0Jjy53i8JpSN,https://api.spotify.com/v1/tracks/2QaYbIofyb0Jjy53i8JpSN,https://api.spotify.com/v1/audio-analysis/2QaYbIofyb0Jjy53i8JpSN,228000.0,4.0
Bini,Here Comes the Glory - Live,1gf4cjNqMIkipw9U4VtWe5,0.306,0.57,6.0,-9.018,1.0,0.0365,0.0223,0.000398,0.0915,0.0435,147.89,audio_features,1gf4cjNqMIkipw9U4VtWe5,spotify:track:1gf4cjNqMIkipw9U4VtWe5,https://api.spotify.com/v1/tracks/1gf4cjNqMIkipw9U4VtWe5,https://api.spotify.com/v1/audio-analysis/1gf4cjNqMIkipw9U4VtWe5,403880.0,4.0
Bini,I See Jesus - Live,0hCIwr820BfrAz4VkppiUJ,0.306,0.372,7.0,-7.504,1.0,0.0293,0.113,0.0,0.0838,0.294,77.873,audio_features,0hCIwr820BfrAz4VkppiUJ,spotify:track:0hCIwr820BfrAz4VkppiUJ,https://api.spotify.com/v1/tracks/0hCIwr820BfrAz4VkppiUJ,https://api.spotify.com/v1/audio-analysis/0hCIwr820BfrAz4VkppiUJ,299271.0,4.0
Bini,Born To Win - Bahasa Version,394JRt671aKXriMkSgQdlX,0.79,0.911,0.0,-2.543,1.0,0.064,0.0685,0.0,0.062,0.473,107.985,audio_features,394JRt671aKXriMkSgQdlX,spotify:track:394JRt671aKXriMkSgQdlX,https://api.spotify.com/v1/tracks/394JRt671aKXriMkSgQdlX,https://api.spotify.com/v1/audio-analysis/394JRt671aKXriMkSgQdlX,173333.0,4.0
Bini,Born To Win - Japanese Version,6tPZhsZ88xN6qeoiB2jMSh,0.816,0.906,9.0,-2.272,0.0,0.0644,0.126,0.0,0.0904,0.438,107.99,audio_features,6tPZhsZ88xN6qeoiB2jMSh,spotify:track:6tPZhsZ88xN6qeoiB2jMSh,https://api.spotify.com/v1/tracks/6tPZhsZ88xN6qeoiB2jMSh,https://api.spotify.com/v1/audio-analysis/6tPZhsZ88xN6qeoiB2jMSh,173333.0,4.0
Bini,Living Proof - Live,48fSSUAlYJoq6CNmYc5RCw,,,,,,,,,,,,,,,,,,
Bini,Born To Win - Spanish Version,1OHZoYZUc7RmPqISO7aKCS,0.839,0.86,0.0,-2.58,1.0,0.0619,0.0645,0.0,0.0841,0.518,107.987,audio_features,1OHZoYZUc7RmPqISO7aKCS,spotify:track:1OHZoYZUc7RmPqISO7aKCS,https://api.spotify.com/v1/tracks/1OHZoYZUc7RmPqISO7aKCS,https://api.spotify.com/v1/audio-analysis/1OHZoYZUc7RmPqISO7aKCS,173333.0,4.0
Bini,Up!,2J0Rq5QTaW3lClPjTHzQMl,0.725,0.791,7.0,-9.829,0.0,0.0391,0.067,0.897,0.0686,0.528,119.992,audio_features,2J0Rq5QTaW3lClPjTHzQMl,spotify:track:2J0Rq5QTaW3lClPjTHzQMl,https://api.spotify.com/v1/tracks/2J0Rq5QTaW3lClPjTHzQMl,https://api.spotify.com/v1/audio-analysis/2J0Rq5QTaW3lClPjTHzQMl,234000.0,4.0
Bini,Born To Win - Thai Version,2LFxumraiSEPCBIo7rGQwH,0.834,0.861,0.0,-2.48,1.0,0.0759,0.0963,1.11e-06,0.0711,0.479,108.006,audio_features,2LFxumraiSEPCBIo7rGQwH,spotify:track:2LFxumraiSEPCBIo7rGQwH,https://api.spotify.com/v1/tracks/2LFxumraiSEPCBIo7rGQwH,https://api.spotify.com/v1/audio-analysis/2LFxumraiSEPCBIo7rGQwH,173333.0,4.0
Bini,Born To Win,3FNkVoyQqk8J24zDnTSojI,0.857,0.855,9.0,-2.329,0.0,0.069,0.173,0.0,0.0545,0.59,107.924,audio_features,3FNkVoyQqk8J24zDnTSojI,spotify:track:3FNkVoyQqk8J24zDnTSojI,https://api.spotify.com/v1/tracks/3FNkVoyQqk8J24zDnTSojI,https://api.spotify.com/v1/audio-analysis/3FNkVoyQqk8J24zDnTSojI,173889.0,4.0
Bini,Kapit Lang,4lfn07QfbMLwpBL4q2Kt4P,0.719,0.72,6.0,-5.408,1.0,0.0323,0.00427,3.25e-05,0.35,0.495,130.051,audio_features,4lfn07QfbMLwpBL4q2Kt4P,spotify:track:4lfn07QfbMLwpBL4q2Kt4P,https://api.spotify.com/v1/tracks/4lfn07QfbMLwpBL4q2Kt4P,https://api.spotify.com/v1/audio-analysis/4lfn07QfbMLwpBL4q2Kt4P,169846.0,4.0
